participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
6,2,bar-slider,constantSum,1,3.0,7.0,62,62,18.135,SQ
6,2,bar-slider,constantSum,2,1.0,11.0,92,9,6.992,HX
6,2,bar-slider,constantSum,3,5.0,15.0,74,36,7.321,YV
6,2,bar-slider,constantSum,4,9.0,13.0,64,57,8.734,LC
6,2,bar-slider,constantSum,5,9.0,15.0,66,52,12.394,LV
6,2,bar-slider,constantSum,6,1.0,5.0,76,32,7.417,HY
6,2,bar-slider,constantSum,7,5.0,7.0,63,59,9.830,YQ
6,2,bar-slider,constantSum,8,13.0,15.0,59,70,6.614,CV
6,2,bar-slider,constantSum,9,3.0,5.0,68,48,13.636,SY
6,2,bar-slider,constantSum,10,5.0,13.0,77,30,11.597,YC
6,2,bar-slider,constantSum,11,3.0,11.0,83,21,9.782,SX
6,2,bar-slider,constantSum,12,7.0,9.0,61,64,9.166,QL
6,2,bar-slider,constantSum,13,3.0,15.0,86,17,8.741,SV
6,2,bar-slider,constantSum,14,7.0,11.0,66,52,9.660,QX
6,2,bar-slider,constantSum,15,5.0,9.0,68,48,13.504,YL
6,2,bar-slider,constantSum,16,9.0,11.0,57,76,11.975,LX
6,2,bar-slider,constantSum,17,11.0,13.0,59,70,6.423,XC
6,2,bar-slider,constantSum,18,3.0,13.0,79,27,9.113,SC
6,2,bar-slider,constantSum,19,1.0,15.0,96,5,4.463,HV
6,2,bar-slider,constantSum,20,1.0,13.0,94,7,2.663,HC
6,2,bar-slider,constantSum,21,5.0,11.0,65,54,8.036,YX
6,2,bar-slider,constantSum,22,7.0,15.0,73,37,4.773,QV
6,2,bar-slider,constantSum,23,1.0,3.0,60,67,7.868,HS
6,2,bar-slider,constantSum,24,1.0,7.0,78,29,4.081,HQ
6,2,bar-slider,constantSum,25,1.0,9.0,87,15,5.789,HL
6,2,bar-slider,constantSum,26,7.0,13.0,67,50,9.733,QC
6,2,bar-slider,constantSum,27,3.0,9.0,72,39,8.226,SL
6,2,bar-slider,constantSum,28,11.0,15.0,60,67,10.377,XV
6,2,sphere-slider,constantSum,1,1.2,5.0,89,13,7.027,KR
6,2,sphere-slider,constantSum,2,1.8,4.0,79,27,4.854,EB
6,2,sphere-slider,constantSum,3,1.8,3.0,61,64,10.402,EP
6,2,sphere-slider,constantSum,4,5.0,7.0,60,67,9.169,RM
6,2,sphere-slider,constantSum,5,1.8,2.5,59,70,12.413,EG
6,2,sphere-slider,constantSum,6,1.2,7.0,97,4,6.064,KM
6,2,sphere-slider,constantSum,7,1.8,7.0,88,14,5.547,EM
6,2,sphere-slider,constantSum,8,4.0,6.0,65,54,4.022,BW
